;NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID;BAIRRO;Tamanho;Endereco;BAIRRO_LOC;LATITUDE;LONGITUDE;LAT_BAIRRO;LONG_BAIRRO
19;Colégio Espaço Aberto - Papicu;;;R. BENTO ALBUQUERQUE, 1671 , COCÓ, FORTALEZA , CE, 60192,055;;;Ensino Médio;COCÓ;7;R. BENTO ALBUQUERQUE  1671 , FORTALEZA;Cocó, FORTALEZA, CE;-3.7465362;-38.4738342;-3.7481588;-38.4808581
20;Colégio 7 de Setembro;;;AVENIDA IMPERADOR, 1055 , CENTRO, FORTALEZA , CE, 60015,051;;;Ensino Médio;CENTRO;7;AVENIDA IMPERADOR  1055 , FORTALEZA;Centro, FORTALEZA, CE;-3.7302935;-38.5351058;-3.7281287;-38.527412
21;Colégio Ari de Sá Cavalcante - Sede Major Facundo;;;R. MAJOR FACUNDO, 980 , CENTRO, FORTALEZA , CE, 60025,100;;;Ensino Médio;CENTRO;7;R. MAJOR FACUNDO  980 , FORTALEZA;Centro, FORTALEZA, CE;-3.731636;-38.5293654;-3.7281287;-38.527412
22;EEFM Arquiteto Rogério Froes;;;AV. DAS GRAVIOLAS, 1000 , CIDADE 2000, FORTALEZA , CE, 60190,600;;;Ensino Médio;CIDADE 2000;7; DAS GRAVIOLAS  1000 , FORTALEZA;Cidade 2000, FORTALEZA, CE;-3.7518076;-38.4721134;-3.7501025;-38.4716231
23;Colégio Dragão do Mar;;;AV. JOÃO PESSOA, 4976 , DAMAS, FORTALEZA , CE, 60426,080;;;Ensino Médio;DAMAS;7; JOÃO PESSOA  4976 , FORTALEZA;Damas, FORTALEZA, CE;-3.7553585;-38.5524504;-3.7530505;-38.5502204
24;EEFM Padre Rocha;;;RUA CORONEL ALVES TEIXEIRA, 525 , JOAQUIM TÁVORA (FORTALEZA), FORTALEZA , CE, 60130,000;;;Ensino Médio;JOAQUIM TÁVORA (FORTALEZA);7;RUA CORONEL ALVES TEIXEIRA  525 , FORTALEZA;Joaquim Távora (Fortaleza), FORTALEZA, CE;-3.745277;-38.5175166;-3.7446816;-38.5186105
25;Colégio 7 de Setembro | Aldeota;;;R. HENRIQUETA GALENO, 1011 , DIONÍSIO TORRES, FORTALEZA , CE, 60135,420;;;Ensino Médio;DIONÍSIO TORRES;7;R. HENRIQUETA GALENO  1011 , FORTALEZA;Dionísio Torres, FORTALEZA, CE;-3.7475593;-38.4912236;-3.7480271;-38.5064872
26;E.E.F.M. Centro dos Retalhistas;;;AV. DA UNIVERSIDADE, 3304 , BENFICA, FORTALEZA , CE, 60020,180;;;Ensino Médio;BENFICA;7; DA UNIVERSIDADE  3304 , FORTALEZA;Benfica, FORTALEZA, CE;-3.7439405;-38.5424358;-3.741486;-38.538855
27;EEFM Clóvis Beviláqua;;;AV. DOM MANUEL, 511 , CENTRO, FORTALEZA , CE, 63475,137;;;Ensino Médio;CENTRO;7; DOM MANUEL  511 , FORTALEZA;Centro, FORTALEZA, CE;-3.7350284;-38.5441769;-3.7281287;-38.527412
28;E.E.M. Adauto Bezerra;;;RUA MONSENHOR LIBERATO, 1850 , FÁTIMA, FORTALEZA , CE, 60411,150;;;Ensino Médio;FÁTIMA;7;RUA MONSENHOR LIBERATO  1850 , FORTALEZA;Fátima, FORTALEZA, CE;-3.7500191;-38.5315462;-3.7517525;-38.5290848
