NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Colégio Luna Rangel;;;R. Vitória, 1126 - Henrique Jorge, Fortaleza - CE, 60521-075;;;escola primária
Escola de Educação Infantil E;;;Rua Padre Ambrósio Machado, 4 - Vila União, Fortaleza - CE, 60410-355;;;escola primária
Colegio Fray Luis Amigo;;;Conj. Ceará, Fortaleza - CE, 60533-594;;;escola primária
Centro Educacional Santa Mônica;;;R. Valéria, 306 - Barroso, Fortaleza - CE, 60862-820;;;escola primária
Creche Escola Mundo da Fantasia | Aldeota;;;R. Ildefonso Albano, 1171 - Aldeota, Fortaleza - CE, 60115-000;;;escola primária
Escola;;;Rua Alberto Feitosa Lima, 328 - Guararapes, Fortaleza - CE, 60810-018;;;escola primária
Secretaria Municipal de Educação de Fortaleza;3.5;95 comentários;Av. Desembargador Moreira, 2875 - Dionísio Torres, Fortaleza - CE, 60170-002;Ministério da educação em Fortaleza, Ceará;;escola primária
Superintendência das Escolas Estaduais de Fortaleza - SEFOR;3.2;10 comentários;Av. Gen. Afonso Albuquerque Lima, s/n - Cambeba, Fortaleza - CE;Repartição pública em Fortaleza, Ceará;;escola primária
CEAP-Clínica Escola de Atenção Primária;5.0;Um comentário;R. Luís de Miranda, 536 - Benfica, Fortaleza - CE, 60015-330;Médico em Fortaleza, Ceará;;escola primária
Seven Educação;;;Avenida Imperador, 852 - Centro, Fortaleza - CE, 60015-050;;;escola primária
Unidade De Atenção Primária À Saúde-UAPS Francisco Edmilson Pinheiro;;;Granja Lisboa, Fortaleza - CE, 60533-661;;;escola primária
Curso de Informática em Fortaleza;;;R. Aristides Barcelos, 608 A - Vicente Pinzon, Fortaleza - CE, 60181-832;;;escola primária
CEPEP Cursos Profissionalizantes;;;Av. Duque de Caxias, 672 - Centro, Fortaleza - CE, 60035-110;;;escola primária
CVT Fortaleza;;;R. Silva Jardim, 512 - José Bonifacio, Fortaleza - CE, 60040-260;;;escola primária
SENAC - Unidade Centro;;;Av. Tristão Gonçalves, 1245 - Centro, Fortaleza - CE, 60015-000;;;escola primária
Supletivo J Oliveira - Sede Aldeota;;;R. Osvaldo Cruz, 2312 - Dionísio Torres, Fortaleza - CE, 60125-151;;;escola primária
Escola de Gastronomia Social Ivens Dias Branco;4.7;144 comentários;R. Manuel Dias Branco, 80 - Cais do Porto, Fortaleza - CE, 60180-635;Escola de culinária em Fortaleza, Ceará;;escola primária
S.O.S Tecnologia e Educação - Unidade;;;Rua Tenente Jurandir Alencar, 206 - Messejana, Fortaleza - CE, 60840-000;;;escola primária
Posto de Saúde Professor Clodoaldo Pinto;3.3;21 comentários;Rua Banvarth Bezerra, 100 - Padre Andrade, Fortaleza - CE, 60356-490;Centro médico público em Fortaleza, Ceará;;escola primária
EEEP Salaberga Torquato Gomes de Matos;;;Av. Marta Maria Carvalho Nojoza, sn - Outra Banda, Maranguape - CE;;;escola primária
Posto de Saúde Fernando Diógenes;3.3;26 comentários;R. Teodoro de Castro, s\n - Granja Portugal, Fortaleza - CE, 60541-192;Posto de saúde comunitário em Fortaleza, Ceará;15 min a 1,5 h;escola primária
Unichristus Campus Parque Ecológico;;;R. João Adolfo Gurgel, 133 - Cocó, Fortaleza - CE, 60190-180;;;escola primária
Posto de Saúde Aída Santos e Silva;3.0;37 comentários;Av. Trajano de Medeiros, 813 - Vicente Pinzon, Fortaleza - CE, 60132-080;Departamento de saúde pública em Fortaleza, Ceará;;escola primária
Editora Caminhar;;;Av. Dom Manuel, 709 - Centro, Fortaleza - CE, 60060-090;;;escola primária
Posto de Saúde Pio XII;2.4;21 comentários;Rua Tubarão, 80 - São João do Tauape, Fortaleza - CE, 60130-560;Posto de saúde comunitário em Fortaleza, Ceará;15 min a 1,5 h;escola primária
EEEP Maria Angela da Silveira;;;Av. Pintor Antônio Bandeira - Praia do Futuro I, Fortaleza - CE, 60182-301;;;escola primária
Posto de Saúde - Prof. José Valdevino de Carvalho;4.1;52 comentários;R. Guará - Parangaba, Fortaleza - CE, 60740-140;Centro médico público em Fortaleza, Ceará;;escola primária
SENAI Jacarecanga;4.6;354 comentários;R. Padre Ibiapina, 1280 - Jacarecanga, Fortaleza - CE, 60010-690;Escola técnica em Fortaleza, Ceará;;escola primária
EEEP Pedro de Queiroz Lima;;;Avenida Omar Peixoto, sn Sítio - Bom Jardim, Beberibe - CE, 62840-000;;;escola primária
SENAI Parangaba;4.7;640 comentários;Av. João Pessoa, 6760 - Damas, Fortaleza - CE, 60721-340;Escola técnica em Fortaleza, Ceará;;escola primária
UAPS - Vicentina Campos;3.1;18 comentários;R. B do Lot. Parque Irajá, 145 - Conj. Jardim Primavera, Fortaleza - CE, 60742-590;Posto de saúde comunitário em Fortaleza, Ceará;20 min a 1,5 h;escola primária
EEEP Walter Ramos de Araújo;;;Avenida Prefeito Mauricio Brasileiro, sn - Liberdade, São Gonçalo do Amarante - CE, 62670-000;;;escola primária
SPDM-PAIS FORTALEZA;3.5;4 comentários;R. Juvenal de Carvalho, 683 - Fátima, Fortaleza - CE, 60050-220;Saúde e segurança ocupacional em Fortaleza, Ceará;;escola primária
SENAI Barra do Ceará;4.5;297 comentários;Av. Francisco Sá, 7221 - Barra do Ceará, Fortaleza - CE, 60330-875;Escola técnica em Fortaleza, Ceará;;escola primária
Editora Cactos;;;R. Cel. Francisco Alves, 87 - Edson Queiroz, Fortaleza - CE, 60834-105;;;escola primária
EEMTI Coronel Murilo Serpa;;;R. Anastácio Barroso Valente, 318 - Cruzeiro, Itapipoca - CE, 62540-000;;;escola primária
Supletivo J. Oliveira - Sede Messejana;;;Av. Jornalista Tomaz Coelho, 03 - Altos - Messejana, Fortaleza - CE, 60871-040;;;escola primária
Fortaleza Ceará;;;R. Beatriz, 365 - Cajazeiras, Fortaleza - CE, 60862-700;;;escola primária
Posto Bezerra de Menezes | SP;3.9;80 comentários;Av. Bezerra de Menezes, 216 - Farias Brito, Fortaleza - CE, 60325-000;Posto de gasolina em Fortaleza, Ceará;10 min;escola primária
Fortaleza Ceará;;;Av. Bernardo Manuel, 7200 - Serrinha, Fortaleza - CE, 60741-280;;;escola primária
Posto de Saúde Graciliano Muniz;2.4;41 comentários;-290, R. 106, 345 - Conj. Esperança, Fortaleza - CE;Hospital público em Fortaleza, Ceará;;escola primária
Escola;;;R. Moreira de Sousa, 262-386 - Parquelândia, Fortaleza - CE, 60450-080;;;escola primária
Fortaleza Ceará;;;Av. da Abolição - Meireles, Fortaleza - CE, 60125-160;;;escola primária
Colégio Joaquim Ancelmo (unidade Timbauba);;;Rua Levy Benício Leite - Timbaúba, Juazeiro do Norte - CE, 63000-000;;;escola primária
Posto De Saúde Francisco Domingos Da Silva;3.8;26 comentários;Av. Pres. Castelo Branco, 4759 - Barra do Ceará, Fortaleza - CE, 60331-495;Posto de saúde comunitário em Fortaleza, Ceará;15 min a 1 h;escola primária
Escola;;;R. Um Conjunto Parque Boata, 1000-1038 - Quintino Cunha, Fortaleza - CE, 60351-695;;;escola primária
escola;;;R. Alberto Montezuma, 235 - Vila União, Fortaleza - CE, 60410-364;;;escola primária
Colégio público;;;Centro, Fortaleza - CE, 60191-156;;;escola primária
Escola;;;Rua Ministro Joaquim Bastos - Fátima, Fortaleza - CE, 60415-040;;;escola primária
Colégio Recamonde;;;R. Irineu de Souza, 197 - Álvaro Weyne, Fortaleza - CE, 60337-180;;;escola primária
Eiei Escolas Integradas de Educacional Infant;;;Rua General Dutra, 79 - Varjota, Fortaleza - CE, 60175-220;;;escola primária
Marco De Revolucao Colegio;;;R. Cecil Salgado, 482 - Jardim Guanabara, Fortaleza - CE, 60346-205;;;escola primária
Escola;;;Lagoa Redonda, Fortaleza - CE;;;escola primária
escola municipal;;;Tv. Paraíso, 172 - Cambeba, Fortaleza - CE;;;escola primária
escola;;;R. Guilherme Pessoa, 633 - Messejana, Fortaleza - CE, 60841-360;;;escola primária
Creche Escolinha Pequeno Sábio;;;Rua Princesa Isabel, 166 - Vicente Pinzon, Fortaleza - CE, 60184-180;;;escola primária
Escola Ensinar - Cursos Profissionalizantes, Cursos de Informática e Idiomas.;;;R. Barão do Rio Branco, 1189 - Centro, Fortaleza - CE, 60025-060;;;escola primária
Supletivo J Oliveira - Sede Aldeota;;;R. Osvaldo Cruz, 2312 - Dionísio Torres, Fortaleza - CE, 60125-151;;;escola primária
Escola Primária de Humaitá;;;17714,, Rod. Pres. Juscelino Kubitschek, 17564, Maranguape - CE;;;escola primária
