NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
EEM São João Piamarta;;;Av. Aguanambi, 2479 - Fátima, Fortaleza - CE, 60415-390;;;Ensino Médio
Unif Ensino Fundamental;;;Rua Coronel Honório Vieira, 850 - Parque Manibura, Fortaleza - CE, 60821-836;;;Ensino Médio
Curso Aprender: Aulas Particulares, Ensino Fundamental e Médio, Reforço Escolar em Papicu Fortaleza CE;;;R. Joaquim Lima, 45 - Papicu, Fortaleza - CE, 60175-005;;;Ensino Médio
Instituto de Educação do Ceará;;;R. Graciliano Ramos, 52 - Fátima, Fortaleza - CE, 60411-200;;;Ensino Médio
Colégio Nossa Senhora das Graças;;;Rua Monsenhor Otávio de Castro, 535 - Fátima, Fortaleza - CE, 60050-150;;;Ensino Médio
Escola Lápis na Mão;;;Alameda das Violetas, 303 - Cidade 2000, Fortaleza - CE, 60190-310;;;Ensino Médio
Colégio Santa Cecília;;;Av. Senador Virgílio Távora, 2000 - Aldeota, Fortaleza - CE, 60170-078;;;Ensino Médio
Escola Municipal Dom Helder Câmara;;;Rua Frei Odilon, 623B - Floresta, Fortaleza - CE, 60336-190;;;Ensino Médio
CIEJA - SUPLETIVO A DISTÂNCIA;;;Avenida Imperador, 195 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
Colégio M.Fialho Jacarecanga;;;Rua Conselheiro Estelita, 264 - Jacarecanga, Fortaleza - CE, 60010-260;;;Ensino Médio
EEFM Antônio Sales;;;Rua Professor Anacleto, 630 - Parquelândia, Fortaleza - CE, 63475-102;;;Ensino Médio
Secretaria de Estado de Educação do Ceará;;;Av. Gen. Afonso Albuquerque Lima - Cambeba, Fortaleza - CE, 60822-325;;;Ensino Médio
Colégio Duque de Caxias;;;R. Peru, 1675 - Parangaba, Fortaleza - CE, 60740-786;;;Ensino Médio
Christus Dionísio Torres;;;R. Israel Bezerra, 630 - Dionísio Torres, Fortaleza - CE, 60135-460;;;Ensino Médio
EEM Liceu Estadual Prof. Domingos Brasileiro;;;R. Planaltina, Sn - Planalto Ayrton Senna, Fortaleza - CE, 60760-480;;;Ensino Médio
Colégio Espaço Aberto;;;Av. Dom Luís, 730 - Aldeota, Fortaleza - CE, 60160-230;;;Ensino Médio
Colégio Vasconcelos Vieira;;;Rua Major Pedro Sampaio, 376 - Rodolfo Teófilo, Fortaleza - CE, 60430-180;;;Ensino Médio
Colégio Salesiano Dom Bosco;;;R. Joaquim Tôrres, 185 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-130;;;Ensino Médio
Supletivo J Oliveira - Sede Centro;;;Avenida Imperador, 195 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
Alternativo Sistema de Ensino;;;Rua Dr. Ribamar Lobo, 363 - Papicu, Fortaleza - CE, 60192-230;;;Ensino Médio
Supletivo J Oliveira - Sede Centro;;;Avenida Imperador, 195 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
Blive Fortaleza;;;R. José Vilar, 2119 - Dionísio Torres, Fortaleza - CE, 60125-001;;;Ensino Médio
Escola Educar Sesc;;;Av. João Pessoa, 5920 - Montese, Fortaleza - CE, 60425-682;;;Ensino Médio
Colégio Salesiano Dom Bosco Fortaleza;;;Av. Antônio Sales, 116 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-101;;;Ensino Médio
Colégio Batista Santos Dumont;;;Rua Desembargador Leite Albuquerque, 1056 - Aldeota, Fortaleza - CE, 60150-150;;;Ensino Médio
